,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value
0,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",0.48789813862308573,0.48911935570112275
1,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",1.6560738205090046,0.2059185843497452
2,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",2.2101560155616399e-32,1.0
3,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",0.3485020823071067,0.5584569583534147
4,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmEuclidean,"[8, 2, 3, 49, 40, 50, 31, 47, 7, 3, 15, 55, 26, 60, 11, 33, 34, 21, 7, 24]",0.09405726806162296,0.7607554606880876
5,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmManhattan,"[8, 2, 3, 48, 39, 50, 26, 45, 10, 3, 15, 54, 28, 57, 11, 31, 33, 19, 10, 18]",0.21919670957481052,0.642327078582879
6,bfs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmOppositeDirectionManhattan,"[8, 2, 3, 52, 40, 58, 36, 51, 7, 3, 16, 59, 32, 57, 13, 37, 30, 24, 7, 30]",0.002903053299039955,0.9573130541491416
7,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",0.40002503442233067,0.5308638740950659
8,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",0.48789813862308573,0.48911935570112275
9,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",1.424591497571067,0.240047587285771
10,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",mmEuclidean,"[8, 2, 3, 49, 40, 50, 31, 47, 7, 3, 15, 55, 26, 60, 11, 33, 34, 21, 7, 24]",0.08074111847696763,0.7778382202917756
11,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",mmManhattan,"[8, 2, 3, 48, 39, 50, 26, 45, 10, 3, 15, 54, 28, 57, 11, 31, 33, 19, 10, 18]",0.018627078289750104,0.8921615165057611
12,dfs,"[44, 3, 5, 35, 27, 34, 18, 32, 37, 5, 53, 36, 21, 39, 16, 21, 23, 13, 10, 24]",mmOppositeDirectionManhattan,"[8, 2, 3, 52, 40, 58, 36, 51, 7, 3, 16, 59, 32, 57, 13, 37, 30, 24, 7, 30]",0.3977635993474599,0.5320215155840087
13,astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",1.6560738205090046,0.2059185843497452
14,astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",2.845506220271565,0.09982374881333274
15,astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",mmEuclidean,"[8, 2, 3, 49, 40, 50, 31, 47, 7, 3, 15, 55, 26, 60, 11, 33, 34, 21, 7, 24]",0.6533570159857905,0.423946642788137
16,astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",mmManhattan,"[8, 2, 3, 48, 39, 50, 26, 45, 10, 3, 15, 54, 28, 57, 11, 31, 33, 19, 10, 18]",0.46169422882213945,0.5009515527233208
17,astar,"[8, 2, 3, 48, 29, 41, 25, 39, 8, 4, 13, 42, 22, 46, 11, 28, 25, 15, 8, 21]",mmOppositeDirectionManhattan,"[8, 2, 3, 52, 40, 58, 36, 51, 7, 3, 16, 59, 32, 57, 13, 37, 30, 24, 7, 30]",1.2724732281143203,0.266375262959915
18,ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",0.3485020823071067,0.5584569583534147
19,ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmEuclidean,"[8, 2, 3, 49, 40, 50, 31, 47, 7, 3, 15, 55, 26, 60, 11, 33, 34, 21, 7, 24]",0.09405726806162296,0.7607554606880876
20,ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmManhattan,"[8, 2, 3, 48, 39, 50, 26, 45, 10, 3, 15, 54, 28, 57, 11, 31, 33, 19, 10, 18]",0.21919670957481052,0.642327078582879
21,ucs,"[15, 4, 6, 49, 30, 44, 33, 50, 16, 8, 28, 43, 27, 50, 28, 29, 39, 21, 14, 25]",mmOppositeDirectionManhattan,"[8, 2, 3, 52, 40, 58, 36, 51, 7, 3, 16, 59, 32, 57, 13, 37, 30, 24, 7, 30]",0.002903053299039955,0.9573130541491416
22,mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",mmEuclidean,"[8, 2, 3, 49, 40, 50, 31, 47, 7, 3, 15, 55, 26, 60, 11, 33, 34, 21, 7, 24]",0.6372502539790045,0.42966915571104536
23,mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",mmManhattan,"[8, 2, 3, 48, 39, 50, 26, 45, 10, 3, 15, 54, 28, 57, 11, 31, 33, 19, 10, 18]",0.9030040458404514,0.3479825350740857
24,mm0,"[15, 2, 3, 52, 44, 57, 40, 54, 11, 3, 24, 58, 33, 58, 19, 38, 35, 31, 11, 35]",mmOppositeDirectionManhattan,"[8, 2, 3, 52, 40, 58, 36, 51, 7, 3, 16, 59, 32, 57, 13, 37, 30, 24, 7, 30]",0.21581140306449761,0.6449009463383888
