,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value
0,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",0.009497099911737566,0.9229071651416062
1,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",0.7130462226143972,0.40401120375091126
2,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",ucs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",0.0,1.0
3,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mm0,"[152, 170, 301, 255, 151, 402, 371, 397, 143, 250, 392, 298, 233, 299, 449, 244, 440, 109, 393]",0.5504086100348112,0.4629638268150117
4,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmEuclidean,"[152, 170, 301, 255, 151, 402, 371, 397, 136, 253, 392, 298, 233, 299, 449, 244, 440, 97, 393]",0.5037866119263883,0.48241340957853074
5,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmManhattan,"[151, 169, 301, 231, 151, 403, 371, 397, 122, 251, 392, 297, 232, 299, 449, 245, 440, 87, 393]",0.38047373679128893,0.5412314319986522
6,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmOppositeDirectionManhattan,"[152, 173, 301, 243, 151, 403, 371, 397, 119, 251, 392, 298, 232, 299, 449, 244, 440, 87, 393]",0.40965557599297997,0.5261971978145776
7,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",0.3964226945346303,0.5329183650095826
8,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",ucs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",0.009497099911737562,0.9229071651416062
9,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mm0,"[152, 170, 301, 255, 151, 402, 371, 397, 143, 250, 392, 298, 233, 299, 449, 244, 440, 109, 393]",0.5373019402498586,0.468299477413594
10,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mmEuclidean,"[152, 170, 301, 255, 151, 402, 371, 397, 136, 253, 392, 298, 233, 299, 449, 244, 440, 97, 393]",0.49830246404324013,0.48479033843901875
