,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value
0,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",dfs,"[402, 138, 553, 276, 340, 432, 339, 333, 141, 388, 327, 199, 437, 510, 680, 161, 600, 253, 491, 501]",43.38999659480102,8.948717381911091e-08
1,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",astar,"[74, 119, 179, 164, 116, 287, 129, 207, 125, 223, 285, 71, 367, 246, 424, 97, 395, 197, 377, 197]",148.09839899464043,1.1138350573845786e-14
2,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",0.0,1.0
3,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",19.061430394527815,9.399942439298208e-05
4,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmEuclidean,"[94, 159, 221, 246, 168, 449, 155, 275, 131, 316, 385, 73, 467, 361, 631, 103, 539, 232, 542, 255]",66.05126973184372,7.762748323492458e-10
5,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmManhattan,"[66, 109, 163, 144, 100, 258, 111, 183, 115, 198, 261, 58, 337, 222, 392, 85, 361, 181, 343, 177]",172.13455197696138,1.0928891962576766e-15
6,bfs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",116.6184595731648,3.8626822205543747e-13
7,dfs,"[402, 138, 553, 276, 340, 432, 339, 333, 141, 388, 327, 199, 437, 510, 680, 161, 600, 253, 491, 501]",astar,"[74, 119, 179, 164, 116, 287, 129, 207, 125, 223, 285, 71, 367, 246, 424, 97, 395, 197, 377, 197]",14.50258406995319,0.0004966282640844877
8,dfs,"[402, 138, 553, 276, 340, 432, 339, 333, 141, 388, 327, 199, 437, 510, 680, 161, 600, 253, 491, 501]",ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",43.38999659480102,8.948717381911091e-08
9,dfs,"[402, 138, 553, 276, 340, 432, 339, 333, 141, 388, 327, 199, 437, 510, 680, 161, 600, 253, 491, 501]",mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",4.687645269424652,0.036725894632294004
