,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value
0,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",0.25541160376599337,0.6194223451770818
1,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",0.9146307046638728,0.351558101391253
2,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",0.0,1.0
3,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",0.40518144034534376,0.5324374132420433
4,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",0.24155104078513984,0.6290274197496313
5,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",0.11265689718000038,0.7410198317783323
6,bfs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.1161035728259951,0.7372442374090575
7,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",2.123946413358589,0.1622381263996676
8,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",0.25541160376599337,0.6194223451770818
9,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",0.055206766055296286,0.8168910262203787
10,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",0.009843427274212122,0.9220649131681287
11,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",0.0021142798343522914,0.9638314573540947
12,dfs,"[84, 171, 110, 134, 89, 77, 130, 62, 51, 48]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.002180140898362192,0.9632728670556341
13,astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",0.9146307046638728,0.351558101391253
14,astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",1.9791912807787122,0.17650736731732478
15,astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",1.5520411373354719,0.22880687677114223
16,astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",1.148090798273647,0.29810619115836556
17,astar,"[35, 57, 151, 60, 19, 20, 123, 105, 53, 58]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",1.1817465909561904,0.2913439383707281
18,ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",0.40518144034534376,0.5324374132420433
19,ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",0.24155104078513984,0.6290274197496313
20,ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",0.11265689718000038,0.7410198317783323
21,ucs,"[51, 73, 160, 98, 30, 51, 134, 120, 84, 63]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.1161035728259951,0.7372442374090575
22,mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",0.012414972763695556,0.9125143857545746
23,mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",0.053907819734029014,0.8190170487750549
24,mm0,"[63, 99, 199, 67, 34, 38, 195, 139, 84, 91]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.05516300200217276,0.8169622228011142
25,mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",0.014662318517871286,0.9049627670119884
26,mmEuclidean,"[63, 93, 199, 66, 28, 30, 196, 139, 74, 91]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.014991052053704969,0.9039088340974472
27,mmManhattan,"[58, 83, 199, 60, 23, 25, 197, 142, 67, 91]",mmOppositeDirectionManhattan,"[62, 79, 199, 61, 28, 19, 192, 141, 77, 87]",0.0,1.0
