,algo_1,algo_1_avg_expanded,algo_2,algo_2_avg_expanded,F_score,p_value
0,bfs,26.76,dfs,26.44,0.008854554900499198,0.9252229197536019
1,bfs,26.76,astar,17.96,7.139330740424098,0.008832462450896573
2,bfs,26.76,ucs,26.76,-2.7382232359525913e-31,
3,bfs,26.76,mm0,27.38,0.025114870036187755,0.8744072778392648
4,bfs,26.76,mmEuclidean,21.0,2.537058446049704,0.1144222458737105
5,bfs,26.76,mmManhattan,20.44,3.211916721588686,0.07618966794577425
6,bfs,26.76,mmOppositeDirectionManhattan,22.22,1.5157544340956364,0.2212095744136819
7,bfs,26.76,mmOppositeDirectionEuclidean,22.6,1.2780276303446685,0.2610252652332818
8,dfs,26.44,astar,17.96,7.337722571702742,0.007969964112029717
9,dfs,26.44,ucs,26.76,0.008854554900499198,0.9252229197536019
10,dfs,26.44,mm0,27.38,0.06196867816832272,0.8039319577001433
11,dfs,26.44,mmEuclidean,21.0,2.459914936120664,0.12000846910940487
12,dfs,26.44,mmManhattan,20.44,3.160991218035282,0.07851904040063928
13,dfs,26.44,mmOppositeDirectionManhattan,22.22,1.41883912340777,0.2364715437328525
14,dfs,26.44,mmOppositeDirectionEuclidean,22.6,1.1802137318394574,0.2799774341052767
15,astar,17.96,ucs,26.76,7.139330740424098,0.008832462450896573
16,astar,17.96,mm0,27.38,6.553115081219086,0.011997677098056913
17,astar,17.96,mmEuclidean,21.0,0.8169283213402262,0.3682962341430658
18,astar,17.96,mmManhattan,20.44,0.5763594581445092,0.44956507123742007
19,astar,17.96,mmOppositeDirectionManhattan,22.22,1.533555919634388,0.21853779992908945
20,astar,17.96,mmOppositeDirectionEuclidean,22.6,1.828215245293901,0.1794506475928466
21,ucs,26.76,mm0,27.38,0.025114870036187755,0.8744072778392648
22,ucs,26.76,mmEuclidean,21.0,2.537058446049704,0.1144222458737105
23,ucs,26.76,mmManhattan,20.44,3.211916721588686,0.07618966794577425
24,ucs,26.76,mmOppositeDirectionManhattan,22.22,1.5157544340956364,0.2212095744136819
25,ucs,26.76,mmOppositeDirectionEuclidean,22.6,1.2780276303446685,0.2610252652332818
26,mm0,27.38,mmEuclidean,21.0,2.5809096221562338,0.11137697262449514
27,mm0,27.38,mmManhattan,20.44,3.1833522624574755,0.07748678333611062
28,mm0,27.38,mmOppositeDirectionManhattan,22.22,1.6342351857734523,0.20413763803676915
29,mm0,27.38,mmOppositeDirectionEuclidean,22.6,1.4073534195935316,0.23836436148531684
30,mmEuclidean,21.0,mmManhattan,20.44,0.024307524094921845,0.876425689086936
31,mmEuclidean,21.0,mmOppositeDirectionManhattan,22.22,0.10583116490377165,0.7456346706953298
32,mmEuclidean,21.0,mmOppositeDirectionEuclidean,22.6,0.18277188483506246,0.6699397984116338
33,mmManhattan,20.44,mmOppositeDirectionManhattan,22.22,0.2360530212954882,0.6281560407858477
34,mmManhattan,20.44,mmOppositeDirectionEuclidean,22.6,0.3490901628129703,0.5559888267636732
35,mmOppositeDirectionManhattan,22.22,mmOppositeDirectionEuclidean,22.6,0.009939712153488192,0.9207876683463652
