,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value,,,,,,,,
0,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",0.0094971,0.922907165,,bfs,dfs,astar,ucs,mm0,mmE,mmM
1,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",0.713046223,0.404011204,,262.74,259.37,236.63,262.74,286.79,285.95,283.21
2,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",ucs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",0,1,,,,,,,,
3,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mm0,"[152, 170, 301, 255, 151, 402, 371, 397, 143, 250, 392, 298, 233, 299, 449, 244, 440, 109, 393]",0.55040861,0.462963827,,,,,,,,
4,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmEuclidean,"[152, 170, 301, 255, 151, 402, 371, 397, 136, 253, 392, 298, 233, 299, 449, 244, 440, 97, 393]",0.503786612,0.48241341,,,,,,,,
5,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmManhattan,"[151, 169, 301, 231, 151, 403, 371, 397, 122, 251, 392, 297, 232, 299, 449, 245, 440, 87, 393]",0.380473737,0.541231432,,,,,,,,
6,bfs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",mmOppositeDirectionManhattan,"[152, 173, 301, 243, 151, 403, 371, 397, 119, 251, 392, 298, 232, 299, 449, 244, 440, 87, 393]",0.409655576,0.526197198,,,,,,,,
7,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",0.396422695,0.532918365,,,,,,,,
8,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",ucs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",0.0094971,0.922907165,,,,,,,,
9,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mm0,"[152, 170, 301, 255, 151, 402, 371, 397, 143, 250, 392, 298, 233, 299, 449, 244, 440, 109, 393]",0.53730194,0.468299477,,,,,,,,
10,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mmEuclidean,"[152, 170, 301, 255, 151, 402, 371, 397, 136, 253, 392, 298, 233, 299, 449, 244, 440, 97, 393]",0.498302464,0.484790338,,,,,,,,
11,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mmManhattan,"[151, 169, 301, 231, 151, 403, 371, 397, 122, 251, 392, 297, 232, 299, 449, 245, 440, 87, 393]",0.392019397,0.535189805,,,,,,,,
12,dfs,"[426, 442, 350, 76, 416, 410, 192, 191, 75, 345, 272, 344, 211, 140, 303, 145, 262, 109, 219]",mmOppositeDirectionManhattan,"[152, 173, 301, 243, 151, 403, 371, 397, 119, 251, 392, 298, 232, 299, 449, 244, 440, 87, 393]",0.417633673,0.522218908,,,,,,,,
13,astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",ucs,"[194, 203, 240, 289, 202, 319, 373, 274, 109, 240, 314, 210, 218, 342, 422, 253, 435, 112, 243]",0.713046223,0.404011204,,,,,,,,
14,astar,"[149, 168, 233, 194, 168, 319, 358, 266, 62, 204, 314, 191, 172, 326, 400, 232, 426, 74, 240]",mm0,"[152, 170, 301, 255, 151, 402, 371, 397, 143, 250, 392, 298, 233, 299, 449, 244, 440, 109, 393]",2.167955329,0.149602967,,,,,,,,
