,algo_1,algo_1_avg_expanded,algo_2,algo_2_avg_expanded,F_score,p_value
0,bfs,679.56,dfs,462.86,61.06791227444263,6.293902464805908e-12
1,bfs,679.56,astar,263.04,265.66149573816904,1.1687580365356557e-29
2,bfs,679.56,ucs,679.56,0.0,1.0
3,bfs,679.56,mm0,529.7,31.57204720987847,1.8041079224333158e-07
4,bfs,679.56,mmEuclidean,353.06,112.93338108055508,5.29841571330468e-18
5,bfs,679.56,mmManhattan,239.1,318.2640067732439,1.524705618115315e-32
6,bfs,679.56,mmOppositeDirectionManhattan,295.14,214.44528033270697,2.0470955179435e-26
7,bfs,679.56,mmOppositeDirectionEuclidean,492.16,28.193983473818022,6.852630256303802e-07
8,dfs,462.86,astar,263.04,48.71881719782671,3.5362526252241405e-10
9,dfs,462.86,ucs,679.56,61.06791227444264,6.293902464805851e-12
10,dfs,462.86,mm0,529.7,5.089283025143688,0.026296786531387343
11,dfs,462.86,mmEuclidean,353.06,10.856846608981964,0.0013708904598703916
12,dfs,462.86,mmManhattan,239.1,64.51396410503467,2.167221726589447e-12
13,dfs,462.86,mmOppositeDirectionManhattan,295.14,32.87609884270745,1.0889679713151979e-07
14,dfs,462.86,mmOppositeDirectionEuclidean,492.16,0.6079407910611677,0.43744318191488996
15,astar,263.04,ucs,679.56,265.6614957381692,1.16875803653562e-29
16,astar,263.04,mm0,529.7,93.32617924901521,6.603707244876516e-16
17,astar,263.04,mmEuclidean,353.06,8.148103211255778,0.0052609449319661085
18,astar,263.04,mmManhattan,239.1,0.8681433736319469,0.35375956559757715
19,astar,263.04,mmOppositeDirectionManhattan,295.14,1.3929730629341188,0.24076052050397698
20,astar,263.04,mmOppositeDirectionEuclidean,492.16,40.499563361547295,6.329575085381179e-09
21,ucs,679.56,mm0,529.7,31.57204720987847,1.8041079224333158e-07
22,ucs,679.56,mmEuclidean,353.06,112.93338108055508,5.29841571330468e-18
23,ucs,679.56,mmManhattan,239.1,318.2640067732439,1.524705618115315e-32
24,ucs,679.56,mmOppositeDirectionManhattan,295.14,214.44528033270697,2.0470955179435e-26
25,ucs,679.56,mmOppositeDirectionEuclidean,492.16,28.193983473818022,6.852630256303802e-07
26,mm0,529.7,mmEuclidean,353.06,29.63631952475036,3.8572815950998154e-07
27,mm0,529.7,mmManhattan,239.1,117.54199756960675,1.8211807347494168e-18
28,mm0,529.7,mmOppositeDirectionManhattan,295.14,68.94526652239186,5.691519350924928e-13
29,mm0,529.7,mmOppositeDirectionEuclidean,492.16,1.0404282021891778,0.3102333850604281
30,mmEuclidean,353.06,mmManhattan,239.1,13.65508147481984,0.0003618703130302197
31,mmEuclidean,353.06,mmOppositeDirectionManhattan,295.14,3.25507482195559,0.0742745952708271
32,mmEuclidean,353.06,mmOppositeDirectionEuclidean,492.16,12.191259278341999,0.0007216633684100108
33,mmManhattan,239.1,mmOppositeDirectionManhattan,295.14,4.510581844885903,0.03620334322999391
34,mmManhattan,239.1,mmOppositeDirectionEuclidean,492.16,51.11950003199844,1.5725910195492612e-10
35,mmOppositeDirectionManhattan,295.14,mmOppositeDirectionEuclidean,492.16,29.13552806245308,4.7051562993855833e-07
