,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value
0,bfs,[],dfs,[],,
1,bfs,[],astar,[],,
2,bfs,[],ucs,[],,
3,bfs,[],mm0,[],,
4,bfs,[],mmEuclidean,[],,
5,bfs,[],mmManhattan,[],,
6,bfs,[],mmOppositeDirectionManhattan,[],,
7,dfs,[],astar,[],,
8,dfs,[],ucs,[],,
9,dfs,[],mm0,[],,
10,dfs,[],mmEuclidean,[],,
11,dfs,[],mmManhattan,[],,
12,dfs,[],mmOppositeDirectionManhattan,[],,
13,astar,[],ucs,[],,
14,astar,[],mm0,[],,
15,astar,[],mmEuclidean,[],,
16,astar,[],mmManhattan,[],,
17,astar,[],mmOppositeDirectionManhattan,[],,
18,ucs,[],mm0,[],,
19,ucs,[],mmEuclidean,[],,
20,ucs,[],mmManhattan,[],,
21,ucs,[],mmOppositeDirectionManhattan,[],,
22,mm0,[],mmEuclidean,[],,
23,mm0,[],mmManhattan,[],,
24,mm0,[],mmOppositeDirectionManhattan,[],,
25,mmEuclidean,[],mmManhattan,[],,
26,mmEuclidean,[],mmOppositeDirectionManhattan,[],,
27,mmManhattan,[],mmOppositeDirectionManhattan,[],,
