,layout,algo,score,win,expanded
0,0,bfs,484.0,True,51
1,0,dfs,484.0,True,84
2,0,astar,484.0,True,35
3,0,ucs,484.0,True,51
4,0,mm0,484.0,True,63
5,0,mmEuclidean,484.0,True,63
6,0,mmManhattan,484.0,True,58
7,0,mmOppositeDirectionManhattan,484.0,True,62
8,1,bfs,474.0,True,73
9,1,dfs,452.0,True,171
10,1,astar,474.0,True,57
11,1,ucs,474.0,True,73
12,1,mm0,474.0,True,99
13,1,mmEuclidean,474.0,True,93
14,1,mmManhattan,474.0,True,83
15,1,mmOppositeDirectionManhattan,474.0,True,79
16,2,bfs,426.0,True,160
17,2,dfs,420.0,True,110
18,2,astar,426.0,True,151
19,2,ucs,426.0,True,160
20,2,mm0,426.0,True,199
21,2,mmEuclidean,426.0,True,199
22,2,mmManhattan,426.0,True,199
23,2,mmOppositeDirectionManhattan,426.0,True,199
24,3,bfs,479.0,True,98
25,3,dfs,479.0,True,134
26,3,astar,479.0,True,60
27,3,ucs,479.0,True,98
28,3,mm0,479.0,True,67
29,3,mmEuclidean,479.0,True,66
30,3,mmManhattan,479.0,True,60
31,3,mmOppositeDirectionManhattan,479.0,True,61
32,4,bfs,495.0,True,30
33,4,dfs,495.0,True,89
34,4,astar,495.0,True,19
35,4,ucs,495.0,True,30
36,4,mm0,495.0,True,34
37,4,mmEuclidean,495.0,True,28
38,4,mmManhattan,495.0,True,23
39,4,mmOppositeDirectionManhattan,495.0,True,28
40,5,bfs,497.0,True,51
41,5,dfs,495.0,True,77
42,5,astar,497.0,True,20
43,5,ucs,497.0,True,51
44,5,mm0,497.0,True,38
45,5,mmEuclidean,497.0,True,30
46,5,mmManhattan,497.0,True,25
47,5,mmOppositeDirectionManhattan,497.0,True,19
48,6,bfs,453.0,True,134
49,6,dfs,453.0,True,130
50,6,astar,453.0,True,123
51,6,ucs,453.0,True,134
52,6,mm0,453.0,True,195
53,6,mmEuclidean,453.0,True,196
54,6,mmManhattan,453.0,True,197
55,6,mmOppositeDirectionManhattan,453.0,True,192
56,7,bfs,458.0,True,120
57,7,dfs,458.0,True,62
58,7,astar,458.0,True,105
59,7,ucs,458.0,True,120
60,7,mm0,458.0,True,139
61,7,mmEuclidean,458.0,True,139
62,7,mmManhattan,458.0,True,142
63,7,mmOppositeDirectionManhattan,458.0,True,141
64,8,bfs,483.0,True,84
65,8,dfs,483.0,True,51
66,8,astar,483.0,True,53
67,8,ucs,483.0,True,84
68,8,mm0,483.0,True,84
69,8,mmEuclidean,483.0,True,74
70,8,mmManhattan,483.0,True,67
71,8,mmOppositeDirectionManhattan,483.0,True,77
72,9,bfs,471.0,True,63
73,9,dfs,471.0,True,48
74,9,astar,471.0,True,58
75,9,ucs,471.0,True,63
76,9,mm0,471.0,True,91
77,9,mmEuclidean,471.0,True,91
78,9,mmManhattan,471.0,True,91
79,9,mmOppositeDirectionManhattan,471.0,True,87
